,Feature,Importance
21,Tenure,301.0
15,Age,287.0
1,VolumeCred,279.0
19,ActBal_CA,271.0
6,TransactionsDeb,186.0
17,VolumeDeb,161.0
3,VolumeDeb_PaymentOrder,148.0
2,VolumeDebCash_Card,124.0
9,TransactionsDebCashless_Card,85.0
18,VolumeDebCashless_Card,84.0
23,TransactionsCred,82.0
0,ActBal_SA,65.0
14,TransactionsDeb_PaymentOrder,63.0
10,TransactionsDebCash_Card,59.0
12,Sex_F,50.0
13,Count_OVD,47.0
8,Count_MF,34.0
4,ActBal_CC,18.0
22,ActBal_OVD,15.0
7,ActBal_MF,14.0
20,Count_CA,13.0
11,Count_CL,12.0
24,Count_SA,7.0
16,ActBal_CL,6.0
5,Count_CC,1.0
