,Feature,Importance
20,Tenure,268.0
14,Age,240.0
18,ActBal_CA,236.0
1,VolumeCred,219.0
16,VolumeDeb,153.0
3,VolumeDeb_PaymentOrder,152.0
5,TransactionsDeb,146.0
2,VolumeDebCash_Card,114.0
17,VolumeDebCashless_Card,102.0
22,TransactionsCred,70.0
8,TransactionsDebCashless_Card,70.0
13,TransactionsDeb_PaymentOrder,70.0
9,TransactionsDebCash_Card,36.0
7,Count_MF,33.0
0,ActBal_SA,33.0
11,Sex_F,31.0
4,ActBal_CC,25.0
15,ActBal_CL,10.0
19,Count_CA,8.0
12,Count_OVD,8.0
6,ActBal_MF,7.0
10,Count_CL,4.0
21,ActBal_OVD,4.0
23,Count_SA,4.0
