,Feature,Importance
21,Tenure,68.0
19,ActBal_CA,60.0
18,VolumeDebCashless_Card,53.0
1,VolumeCred,52.0
15,Age,36.0
9,TransactionsDebCashless_Card,36.0
2,VolumeDebCash_Card,34.0
3,VolumeDeb_PaymentOrder,34.0
6,TransactionsDeb,28.0
23,TransactionsCred,27.0
0,ActBal_SA,25.0
17,VolumeDeb,22.0
8,Count_MF,16.0
10,TransactionsDebCash_Card,12.0
13,Count_OVD,12.0
14,TransactionsDeb_PaymentOrder,12.0
7,ActBal_MF,12.0
16,ActBal_CL,9.0
4,ActBal_CC,4.0
22,ActBal_OVD,3.0
11,Count_CL,1.0
5,Count_CC,1.0
20,Count_CA,1.0
12,Sex_F,1.0
